country,year,sex,age,suicides_no,population
Brazil,2011,male,35-54 years,2754,24975171
Brazil,2011,male,5-14 years,63,17044425
Brazil,2011,male,55-74 years,1323,11208705
Brazil,2011,male,75+ years,352,2002447
Brazil,2012,female,15-24 years,383,17145894
Brazil,2012,female,25-34 years,455,17398447
Brazil,2012,female,35-54 years,877,26979566
Brazil,2012,female,5-14 years,41,16175024
Brazil,2012,female,55-74 years,418,13532752
Brazil,2012,female,75+ years,80,3285641
Brazil,2012,male,15-24 years,1313,17644319
Brazil,2012,male,25-34 years,1930,17418954
Brazil,2012,male,35-54 years,2885,25463652
Brazil,2012,male,5-14 years,79,16810876
Brazil,2012,male,55-74 years,1458,11612925
Brazil,2012,male,75+ years,376,2123165
Brazil,2013,female,15-24 years,362,17123318
Brazil,2013,female,25-34 years,393,17492228
Brazil,2013,female,35-54 years,897,27475364
Brazil,2013,female,5-14 years,50,15923724
Brazil,2013,female,55-74 years,433,14022927
Brazil,2013,female,75+ years,88,3462431
Brazil,2013,male,15-24 years,1317,17627508
Brazil,2013,male,25-34 years,2004,17534209
Brazil,2013,male,35-54 years,3053,25965164
Brazil,2013,male,5-14 years,72,16555477
Brazil,2013,male,55-74 years,1474,12036068
Brazil,2013,male,75+ years,370,2240434
Brazil,2014,female,15-24 years,371,17094729
Brazil,2014,female,25-34 years,457,17539955
Brazil,2014,female,35-54 years,871,27971096
Brazil,2014,female,5-14 years,62,15670559
Brazil,2014,female,55-74 years,389,14550395
Brazil,2014,female,75+ years,83,3634999
Brazil,2014,male,15-24 years,1358,17606681
Brazil,2014,male,25-34 years,1982,17601477
Brazil,2014,male,35-54 years,3050,26475231
Brazil,2014,male,5-14 years,84,16299015
Brazil,2014,male,55-74 years,1534,12492114
Brazil,2014,male,75+ years,390,2349303
Brazil,2015,female,15-24 years,397,17047218
Brazil,2015,female,25-34 years,466,17546090
Brazil,2015,female,35-54 years,910,28461855
Brazil,2015,female,5-14 years,56,15430579
Brazil,2015,female,55-74 years,479,15122216
Brazil,2015,female,75+ years,89,3802086
Brazil,2015,male,15-24 years,1389,17569045
Brazil,2015,male,25-34 years,1897,17625976
Brazil,2015,male,35-54 years,3238,26989063
Brazil,2015,male,5-14 years,79,16057040
Brazil,2015,male,55-74 years,1693,12987357
Brazil,2015,male,75+ years,470,2448560
